,Part,variable,value
207,28,Gradient,60.4775
208,29,Gradient,58.9275
209,30,Gradient,56.2175
210,1,KFTS,66.8625
211,2,KFTS,65.3225
212,3,KFTS,68.8275
213,4,KFTS,61.47
214,5,KFTS,64.8125
215,6,KFTS,61.2975
216,7,KFTS,56.745
217,8,KFTS,63.175
218,9,KFTS,54.8375
219,10,KFTS,60.4525
220,11,KFTS,55.74
221,12,KFTS,62.4175
222,13,KFTS,62.2975
223,14,KFTS,70.9025
224,15,KFTS,70.0425
225,16,KFTS,60.9225
226,17,KFTS,66.45
227,18,KFTS,59.4775
228,19,KFTS,57.2675
229,20,KFTS,55
230,21,KFTS,66.8675
231,22,KFTS,68.38
232,23,KFTS,68.805
233,24,KFTS,72.215
234,25,KFTS,57.42
235,26,KFTS,61.71
236,27,KFTS,64.0175
237,28,KFTS,49.43
238,29,KFTS,54.0525
239,30,KFTS,46.14
240,1,SM-UCB,63.4345568
241,2,SM-UCB,61.12044826
242,3,SM-UCB,67.57458993
243,4,SM-UCB,57.12566259
244,5,SM-UCB,61.2651398
245,6,SM-UCB,60.49784046
246,7,SM-UCB,56.51451153
247,8,SM-UCB,63.23318629
248,9,SM-UCB,51.508013
249,10,SM-UCB,55.50594947
250,11,SM-UCB,51.87020161
251,12,SM-UCB,58.96892485
252,13,SM-UCB,60.52205774
253,14,SM-UCB,63.69837569
254,15,SM-UCB,69.91339288
255,16,SM-UCB,56.29005807
256,17,SM-UCB,58.44172869
257,18,SM-UCB,55.62586267
258,19,SM-UCB,61.93844085
259,20,SM-UCB,50.95594762
260,21,SM-UCB,63.35292502
261,22,SM-UCB,65.11068244
262,23,SM-UCB,65.57704541
263,24,SM-UCB,65.85488253
264,25,SM-UCB,46.68240589
265,26,SM-UCB,52.56309501
266,27,SM-UCB,59.35663411
267,28,SM-UCB,51.96773197
268,29,SM-UCB,50.8507862
269,30,SM-UCB,56.40300851
