,Part,variable,value
179,30,KFTS,0.35608175
180,1,SM-UCB,0.308579473
181,2,SM-UCB,0.267770927
182,3,SM-UCB,0.338804775
183,4,SM-UCB,0.387209235
184,5,SM-UCB,0.290038001
185,6,SM-UCB,0.372498312
186,7,SM-UCB,0.302241215
187,8,SM-UCB,0.342354024
188,9,SM-UCB,0.356031205
189,10,SM-UCB,0.25779946
190,11,SM-UCB,0.534160481
191,12,SM-UCB,0.36300677
192,13,SM-UCB,0.457683813
193,14,SM-UCB,0.391756264
194,15,SM-UCB,0.277003829
195,16,SM-UCB,0.242185377
196,17,SM-UCB,0.455535291
197,18,SM-UCB,0.190238216
198,19,SM-UCB,0.139531634
199,20,SM-UCB,0.168191508
200,21,SM-UCB,0.228699234
201,22,SM-UCB,0.386316161
202,23,SM-UCB,0.514120385
203,24,SM-UCB,0.610412894
204,25,SM-UCB,-0.024953545
205,26,SM-UCB,-0.094149211
206,27,SM-UCB,0.275832365
207,28,SM-UCB,0.037184863
208,29,SM-UCB,0.082990661
209,30,SM-UCB,0.301281985
