,Part,variable,value
258,19,SM-UCB,44
259,20,SM-UCB,43
260,21,SM-UCB,51
261,22,SM-UCB,48
262,23,SM-UCB,51
263,24,SM-UCB,37
264,25,SM-UCB,38
265,26,SM-UCB,44
266,27,SM-UCB,54
267,28,SM-UCB,46
268,29,SM-UCB,50
269,30,SM-UCB,56
