,Part,variable,value
260,21,UCBSM,65
261,22,UCBSM,55
262,23,UCBSM,60
263,24,UCBSM,69
264,25,UCBSM,50
265,26,UCBSM,57
266,27,UCBSM,62
267,28,UCBSM,52
268,29,UCBSM,53
269,30,UCBSM,57
