,Part,variable,value
178,29,KFTS,0.113498468
179,30,KFTS,0.217512223
180,1,SM-UCB,0.37676387
181,2,SM-UCB,0.427053396
182,3,SM-UCB,0.417520322
183,4,SM-UCB,0.232495468
184,5,SM-UCB,0.261210154
185,6,SM-UCB,0.32925125
186,7,SM-UCB,0.481824506
187,8,SM-UCB,0.450160899
188,9,SM-UCB,0.468498577
189,10,SM-UCB,0.40654753
190,11,SM-UCB,0.481245683
191,12,SM-UCB,0.388415293
192,13,SM-UCB,0.504977767
193,14,SM-UCB,0.371837923
194,15,SM-UCB,0.297616908
195,16,SM-UCB,0.416553364
196,17,SM-UCB,0.454482049
197,18,SM-UCB,0.16782263
198,19,SM-UCB,0.127565857
199,20,SM-UCB,0.185079425
200,21,SM-UCB,0.401518443
201,22,SM-UCB,0.492475244
202,23,SM-UCB,0.549971673
203,24,SM-UCB,0.501542209
204,25,SM-UCB,0.107650662
205,26,SM-UCB,-0.015461964
206,27,SM-UCB,0.406599407
207,28,SM-UCB,0.149929074
208,29,SM-UCB,0.26254401
209,30,SM-UCB,0.312701959
