,Part,variable,value
213,4,KFTS,60.1675
214,5,KFTS,63.6975
215,6,KFTS,58.89
216,7,KFTS,59.2825
217,8,KFTS,63.4
218,9,KFTS,55.005
219,10,KFTS,58.975
220,11,KFTS,52.5175
221,12,KFTS,61.2025
222,13,KFTS,47.17
223,14,KFTS,71.33
224,15,KFTS,70.335
225,16,KFTS,58.97
226,17,KFTS,66.7725
227,18,KFTS,61.23
228,19,KFTS,63.7575
229,20,KFTS,54.29
230,21,KFTS,65.8625
231,22,KFTS,68.32
232,23,KFTS,67.595
233,24,KFTS,72.3875
234,25,KFTS,59.1375
235,26,KFTS,66.585
236,27,KFTS,63.855
237,28,KFTS,59.4575
238,29,KFTS,62.14
239,30,KFTS,59.1975
240,1,SM-UCB,62.345
241,2,SM-UCB,62.335
242,3,SM-UCB,63.0275
243,4,SM-UCB,53.4375
244,5,SM-UCB,59.0375
245,6,SM-UCB,58.2325
246,7,SM-UCB,55.4025
247,8,SM-UCB,58.2325
248,9,SM-UCB,52.5075
249,10,SM-UCB,58.08
250,11,SM-UCB,51.785
251,12,SM-UCB,60.095
252,13,SM-UCB,59.545
253,14,SM-UCB,68.24
254,15,SM-UCB,65.375
255,16,SM-UCB,58.385
256,17,SM-UCB,64.26
257,18,SM-UCB,53.4175
258,19,SM-UCB,58.1675
259,20,SM-UCB,48.7575
260,21,SM-UCB,62.3675
261,22,SM-UCB,64.17
262,23,SM-UCB,64.9525
263,24,SM-UCB,70.3825
264,25,SM-UCB,51.3425
265,26,SM-UCB,57.13
266,27,SM-UCB,59.8325
267,28,SM-UCB,50.6075
268,29,SM-UCB,54.215
269,30,SM-UCB,56.08
